"""","販売農家総数(戸)","借入耕地なし(戸)","借入れ耕地の面積規模農家数_0.1ha未満(戸)","借入れ耕地の面積規模農家数_0.1～0.3ha(戸)","借入れ耕地の面積規模農家数_0.3～0.5ha(戸)","借入れ耕地の面積規模農家数_0.5～1.0ha(戸)","借入れ耕地の面積規模農家数_1.0～1.5ha(戸)","借入れ耕地の面積規模農家数_1.5～2.0ha(戸)","借入れ耕地の面積規模農家数_2.0～3.0ha(戸)","借入れ耕地の面積規模農家数_3.0ha以上(戸)"
"平成 7年(1995年)   ","31726.0","25493.0","1213.0","2958.0","1115.0","711.0","146.0","44.0","27.0","19.0"
"平成12年(2000年)","28681.0","21564.0","1251.0","3358.0","1318.0","867.0","205.0","50.0","43.0","25.0"
"平成17年(2005年)","25594.0","18735.0","1024.0","3023.0","1348.0","1032.0","282.0","77.0","44.0","29.0"
"平成22年(2010年)","23207.0","16392.0","930.0","2835.0","1327.0","1168.0","345.0","103.0","67.0","40.0"
